SPI init: 0
sampleRate: 44100
sizeInBytes: 1058400
bytesPerSample: 4
Channels: 2
FrameCount: 132300

   Global   NrCurrFrame  Value (*pOut)
        1    1       0: -0.174866
      449    2    7613: -0.172241
   860043    3   12315: -0.0737
  1183987    4   16441: 0.210876
  1511349    5   20529: 0.259308
  2246011    6   24616: 0.00656128
  2586547    7   28815: 0.0255127
  2949448    8   32914: -0.0300903
  3661302    9   36915: 0.020874
  3951739   10   41016: -0.127563
  4273697   11   45106: -0.00933838
  4923046   12   49213: 0.221252
  5333863   13   53315: 0.172607
  5652120   14   57416: -0.0744324
  6404742   15   61515: -0.200409
  6698702   16   65615: -0.0458679
  7035132   17   69709: 0.136353
  7762990   18   73813: 0.00512695
  8071057   19   77914: -0.0684509
  8353022   20   82015: -0.0873108
  8966240   21   86115: -0.1651
  9266446   22   90215: -0.0415344
  9584593   23   94306: 0.0231323
 10210952   24   98415: -0.102417
 10210953   25  102400: 0.120331
 11308977   26  102504: 0.188934
 11651703   27  106614: -0.116364
 12398113   28  110614: -0.0427246
 12768957   29  114815: 0.0830994
 13078793   30  118908: -0.0687866
 13831906   31  122914: -0.0354919
 14135074   32  127114: -0.0551453
 14487189   33  131215: -0.0105896
maxVal(*pOut): -0.0105896
